,compare,snr,task,data type
560,mriqc,5.604932764722774,mriqc,snr
561,mriqc,4.811760192226864,mriqc,snr
562,mriqc,4.567443941326146,mriqc,snr
563,mriqc,5.471910846094245,mriqc,snr
564,mriqc,4.778329203926036,mriqc,snr
565,mriqc,5.781024813754073,mriqc,snr
566,mriqc,4.71054148769895,mriqc,snr
567,mriqc,5.1786999143232695,mriqc,snr
568,mriqc,5.723978824265513,mriqc,snr
569,mriqc,4.574114409825574,mriqc,snr
570,mriqc,5.373816566231691,mriqc,snr
571,mriqc,5.657867646763377,mriqc,snr
572,mriqc,4.741104872286622,mriqc,snr
573,mriqc,5.395885691877433,mriqc,snr
574,mriqc,5.736558437681945,mriqc,snr
575,mriqc,5.016261097608089,mriqc,snr
576,mriqc,5.404545565548256,mriqc,snr
577,mriqc,5.458575108267758,mriqc,snr
578,mriqc,5.397978659285174,mriqc,snr
579,mriqc,5.2586532899783585,mriqc,snr
580,mriqc,5.319277174517921,mriqc,snr
581,mriqc,4.548964502482351,mriqc,snr
582,mriqc,5.317251656323597,mriqc,snr
583,mriqc,5.489248771638152,mriqc,snr
584,mriqc,4.932532376324093,mriqc,snr
585,mriqc,5.737206900658863,mriqc,snr
586,mriqc,4.5759966365971385,mriqc,snr
587,mriqc,5.00290530732977,mriqc,snr
588,mriqc,5.69254302288516,mriqc,snr
589,mriqc,5.161617313622116,mriqc,snr
590,mriqc,5.099582306564153,mriqc,snr
591,mriqc,5.113505360612168,mriqc,snr
592,mriqc,5.50211915494449,mriqc,snr
593,mriqc,5.717767644712839,mriqc,snr
594,mriqc,4.761721930414161,mriqc,snr
595,mriqc,4.708897058255447,mriqc,snr
596,mriqc,5.332213843208672,mriqc,snr
597,mriqc,5.52875645004265,mriqc,snr
598,mriqc,5.54669986549042,mriqc,snr
599,mriqc,4.926549280975028,mriqc,snr
600,mriqc,5.290770035224876,mriqc,snr
601,mriqc,5.638579849580552,mriqc,snr
