,compare,tsnr,task,data type
451,mriqc,60.70859909057617,mriqc,tsnr
452,mriqc,62.467506408691406,mriqc,tsnr
453,mriqc,64.10936737060547,mriqc,tsnr
454,mriqc,43.20367431640625,mriqc,tsnr
455,mriqc,64.52247619628906,mriqc,tsnr
456,mriqc,53.04911804199219,mriqc,tsnr
457,mriqc,56.00714874267578,mriqc,tsnr
458,mriqc,55.45806884765625,mriqc,tsnr
459,mriqc,61.24467086791992,mriqc,tsnr
460,mriqc,36.65180206298828,mriqc,tsnr
461,mriqc,41.23047637939453,mriqc,tsnr
462,mriqc,42.18368911743164,mriqc,tsnr
463,mriqc,49.29856491088867,mriqc,tsnr
464,mriqc,55.51189422607422,mriqc,tsnr
465,mriqc,42.359771728515625,mriqc,tsnr
466,mriqc,45.30965423583984,mriqc,tsnr
467,mriqc,59.07902526855469,mriqc,tsnr
468,mriqc,64.55023956298828,mriqc,tsnr
469,mriqc,58.82977294921875,mriqc,tsnr
470,mriqc,60.883731842041016,mriqc,tsnr
471,mriqc,57.30508804321289,mriqc,tsnr
472,mriqc,61.51813507080078,mriqc,tsnr
473,mriqc,57.1879768371582,mriqc,tsnr
474,mriqc,50.38317108154297,mriqc,tsnr
475,mriqc,57.863525390625,mriqc,tsnr
476,mriqc,66.32502746582031,mriqc,tsnr
477,mriqc,61.4080810546875,mriqc,tsnr
478,mriqc,55.30094146728515,mriqc,tsnr
479,mriqc,62.02412414550781,mriqc,tsnr
480,mriqc,63.31925582885742,mriqc,tsnr
481,mriqc,57.0811767578125,mriqc,tsnr
482,mriqc,54.26734924316406,mriqc,tsnr
483,mriqc,56.75967788696289,mriqc,tsnr
484,mriqc,53.47865295410156,mriqc,tsnr
485,mriqc,56.27693939208984,mriqc,tsnr
486,mriqc,41.544830322265625,mriqc,tsnr
487,mriqc,46.84516525268555,mriqc,tsnr
488,mriqc,62.60704803466797,mriqc,tsnr
489,mriqc,57.01803970336914,mriqc,tsnr
490,mriqc,58.35507583618164,mriqc,tsnr
491,mriqc,55.40679931640625,mriqc,tsnr
492,mriqc,50.548583984375,mriqc,tsnr
493,mriqc,51.83546447753906,mriqc,tsnr
494,mriqc,50.19865417480469,mriqc,tsnr
495,mriqc,58.1279411315918,mriqc,tsnr
496,mriqc,54.8091926574707,mriqc,tsnr
497,mriqc,32.062843322753906,mriqc,tsnr
498,mriqc,56.3216667175293,mriqc,tsnr
499,mriqc,57.18242645263672,mriqc,tsnr
500,mriqc,50.020973205566406,mriqc,tsnr
501,mriqc,54.23131561279297,mriqc,tsnr
502,mriqc,60.70859909057617,mriqc,tsnr
503,mriqc,34.56148910522461,mriqc,tsnr
504,mriqc,56.552677154541016,mriqc,tsnr
505,mriqc,65.03126525878906,mriqc,tsnr
506,mriqc,62.467506408691406,mriqc,tsnr
507,mriqc,58.56104278564453,mriqc,tsnr
508,mriqc,66.09603881835938,mriqc,tsnr
509,mriqc,60.37487030029297,mriqc,tsnr
510,mriqc,51.89576721191406,mriqc,tsnr
511,mriqc,48.76634216308594,mriqc,tsnr
512,mriqc,55.45806884765625,mriqc,tsnr
513,mriqc,60.41020584106445,mriqc,tsnr
514,mriqc,51.92231750488281,mriqc,tsnr
515,mriqc,56.00714874267578,mriqc,tsnr
516,mriqc,64.52247619628906,mriqc,tsnr
517,mriqc,61.356571197509766,mriqc,tsnr
518,mriqc,59.514896392822266,mriqc,tsnr
519,mriqc,30.625091552734375,mriqc,tsnr
520,mriqc,53.752647399902344,mriqc,tsnr
521,mriqc,54.2816276550293,mriqc,tsnr
522,mriqc,47.387428283691406,mriqc,tsnr
523,mriqc,52.08475112915039,mriqc,tsnr
524,mriqc,59.571895599365234,mriqc,tsnr
525,mriqc,61.76878356933594,mriqc,tsnr
526,mriqc,39.12502670288086,mriqc,tsnr
527,mriqc,38.4088134765625,mriqc,tsnr
528,mriqc,64.5013427734375,mriqc,tsnr
529,mriqc,55.45568084716797,mriqc,tsnr
530,mriqc,53.4847412109375,mriqc,tsnr
531,mriqc,55.456336975097656,mriqc,tsnr
532,mriqc,52.685089111328125,mriqc,tsnr
533,mriqc,56.56311798095703,mriqc,tsnr
534,mriqc,54.38977813720703,mriqc,tsnr
535,mriqc,57.85523986816406,mriqc,tsnr
536,mriqc,62.232547760009766,mriqc,tsnr
537,mriqc,60.48511505126953,mriqc,tsnr
538,mriqc,35.97453308105469,mriqc,tsnr
539,mriqc,55.51189422607422,mriqc,tsnr
540,mriqc,42.359771728515625,mriqc,tsnr
541,mriqc,31.1539363861084,mriqc,tsnr
542,mriqc,45.30965423583984,mriqc,tsnr
543,mriqc,44.69029235839844,mriqc,tsnr
544,mriqc,26.55389976501465,mriqc,tsnr
