,compare,efc,task,data type
569,mriqc,0.5365756549777185,mriqc,efc
570,mriqc,0.5067124100799865,mriqc,efc
571,mriqc,0.5058359207701606,mriqc,efc
572,mriqc,0.5182570388197723,mriqc,efc
573,mriqc,0.5053816233673736,mriqc,efc
574,mriqc,0.5244975508761137,mriqc,efc
575,mriqc,0.4949143857924182,mriqc,efc
576,mriqc,0.5128669194781986,mriqc,efc
577,mriqc,0.5124163759621839,mriqc,efc
578,mriqc,0.5612862094976305,mriqc,efc
579,mriqc,0.562566179633827,mriqc,efc
580,mriqc,0.5034383864381228,mriqc,efc
581,mriqc,0.5029081902294097,mriqc,efc
